,text,pages_N
1194,"Situační zpráva - leden 1979 Jak už to v zimě bývá, leden se ohlásil nízkými teplotami, Několka- denní silné mrazy/kolem-l^C/ ukázaly neutěšeny stav československého i hospodářství *V zem i vznikla mimořádná situacatulice nebyly osvětlené, v mnoha provozech a úřadech se nepracovalo,ve veřejných místnostech se netopilo,televize omezila vysílání na několik večerních hodin,žáci a studen- ti měli tři týdny uhelné prázdniny,domácnosti trpěly zimou. Bebylo čím topit a šetřilo se, Hospodářsky a společenský život republiky byl ochromen. Sdělovací prostředky se «nažily vyvolat dojem,jakoby za všechno byl® vinna nepřizen počasí* 2 tohoto alibismu si lidé jenom dělali legraci,vyjádřenou - jak je v Československu zvykem- množstvím anekdot.Složitou situací se za- bývala vláda ČSSR, které přijala řadu opatření, mezi něž patří posun pra- covní doby, převážně v nevýrobní aféře, za účelem rozložení energetické špičky. Mrazivé ovzduší,ale méně legrace bylo v zasedací aíni okresního soudu v Trutnově,kde byl 11,ledna odsouzen mluvčí Charty 77 dr. Jaroslav Šabata k devítiměsíčnímu vězení ve druhé nápravně-výchvné skupině. Jak je známo, Jaroslav Šabata ae chtěl zúčastnit pracovní schůzky zástupců čs. Charty 77 a polského Výboru společenské sebeobrany /KOR/, které ae měla uskutečnit v Krkonoších, Setkání bylo bezpečnostními orgány obou zemí zmařeno, Jaro- slav Sabate zadržen, surově zbit a posléze obviněn z tr.činu útoku na veřej- ného činitele a uvězněn. Nezákonná akce bezpečnostních orgánů vyvolala doma i ve světě vlnu protestů. Charta 77 vydala k procesu a Jaroslavem Šabatou sdělení, Výbor na obratiu nespravedlivě stíhaných /VONS/ se podrobně celým případem zabýval ve sdělení č. 67. Dále ještě napsaly Charta 77 a VONS spolkovému kancléři Rakouské republiky před jeho návštěvou v Česko- slovensku dopis,ve které žádají o intervenci za zavřeného mluvčího Charty 77. Výbor společenské sebeobrany /KOR/ zaslal J. Šabatovi solidarizující poz- drav. VONS vydal v lednu osm sdělení /63 až 70/. Sdělení č. 63 je souhrnné. Uvádí jmenný seznam s adresami členů Výboru i jeho spolupracovníků v zahraničí, informuje o záaadách práce Výboru,zabývá ae některými obec- nými myšlenkami o praxi policejních a justičních orgánů a upozorňuje ne akce perzekuované občany. Déle sdelení uvádí stručné údaje o případech, jež VGNS sleduje,tj. o 4Cti osobách ve vazbě nebo výkonu trestu odnětí svobody a 26ti osobách, s nimiž je vedeno trestní stíhání na svobodě. V následujících sdíleních VONS informuje o dalším trestní® stihání Petra Cibulky, o zvýšení trestu na 13 měsíců Josefu Brychtovi a Pavlu Novákovi /odvolací soud vyhovřl odvolání prokurátora/ a o případu Jaroslava Sabaty. Ve sdělení č.68 VONS uválífgodl@ materiálů KSS/KOR/, případ polského aktivisty Kazimierze áwitoné, který je trestní stíhán za údajné napadení veřejného činitele.Sděleni č.69 se zabývá si mimo jiné pravomocným odsou- zením Zdeňka K>š*áka/8 měsíců vězení/ a případem Josefa Kliera,Josefa TTegra a Ivany Holotové,kteří byli odsouzeni za údajný tr.čin křivého svě- dectví ,jehož se měli dopustit při hlavním líčení ve věci Jiřího Chmela, k vysokým trestům odnětí svobody. Sdělení č. 70 pak pravomocným odsouzením Petra Cibulky /2roky/,Libora Chloupka/22měsíců/ a Petra Pospíchala /llměsí- ců/ za údajné pobuřování. Na závěr lednové zprávy upozorňujeme, že lednem 19?9 začal třetí rok existence nezávislého hnutí za občanská a lidská práva Charta 77. [pageend1]",1
1195,"Situační zpráva - únor 1979 -*1 7.února vyjádřila Charta77,xx dopisem vládě ČSSR, své stanovisko k jednání Mezinárodní organizace práce o stížnosti Mezinárodní kon- federace svobodných odborů na porušování čs. pracovního zákonodárství a Úmluvy č.111/1958 Mezinárodní organizace práce o zákazu diskriminace v zaměstnání a povolání. Podrobnější zprávu přinášíme v příloze. 8.února vydala Charta77 následující sdělení: Charta77 oznamuje, že dnešním dnem byli v souladu s dohodnutou praxí vystřídáni, mluvčí Cha r ty 7 7 Václav Havel a dr.Ladislav Hejdánek. Protože mluvčí Charty77 dr.Jaroslav Sabata je ve vězení a nemůže zatím svou funkci vykonávat,byl vzhledem k potřebě tří fungujících mluv- čích počet mluvčích rozšířen, funkcí mluvčích byli pověřeni dr.Václav Benda* Jiří Dienstbier a Zdena Tominová. Dřívější mluvčí dr.Jiří Hájek, Václav Havel a dr.Ladislav Hejdánek a v budoucnu i další eíiskžx budou s mluvčími spolupracovat a jsou v nutném případě připraveni se této funkce opět prozatímně ujmout. Podepsáni:dr.Václav Benda,Jiří Dienstbier,dr.Jaroslav Sabata,Zdena Tominová,Václav Havel,dr.Ladislav Hejdánek. Přílohu tohoto sdělení tvoří životopisy nových mluvčíup,. 16.února krajský soud v Qradei Králové potvrdil rozsudek nad mluv- čím Charty77 drľJaroslavem Sabatou,kterým byl uznán vinným spácháním tr.činu útoku na veřejného činitele a odsouzen k devítiměsíčnímu trestu odnětí svobody v II.nápravně-výchovné skupině. Charta77 i ve sdělení o procesu/ a Výbor na obranu nespravedlivě stíhaných /ve sděleníě Č.76 / apelují' tm československou a světovou veřejnost, aby sledovala osud Jaroslava Sabaty a usilovala o jeho osvobození. Z celého světa jsou hlášeny solidární akce. Výbor ne obranu nespravedlivě stíhaných vydal v únoru devět sděle- ní /71 až 79/: František Hrabal a Jiří Volf pro údajné podvracení republiky byli pravomocně odsouzeni ke 3 letům vězení/Volf ve II. nápravně-výchovné skupině/, Josef Klier, Petr Ouda, Josef Hegr a Ivana Holotová byli pravomocně odsouzení k vysokým trestům xžxkh± odnětí svobody, údajně za křivé svědectví při procesu s Jiřím Chmelem/sděle- ní č. 72!!í/, Jan Pavlíček byl pravomocně odsouzenvza údajné pobuřo- vání k 8 měsícům vězení /rozšiřování petice,upozorňující na porušová- ní náboženských svobod v Československu/, Augustin Navrátil byl roz- hodnutím soudu internován v psychiatrické léčebně.V souvislosti s článkem Danubia/pseudonym/ v 57*čísle časopisu Svědectví byla provedena protiprávní policejní akce proti řadě československých obča- nů /sdělení č.74/. Jaroslav Sabata b§sl pravomocně odsouzen k 9ti měsíčnímu vezení ve II.nápravně výchovné skupině. Jiří Slovák byl za hanobení republiky a jejího představitele pravomocné odsouzen k 4-měsíčnímu vězení a k ochrannému protialkoholnímu léčení/tr .čin měl údajně spáchat před dvěma roky!!, navíc jde-dle znaleckého posud- ku- o člověka trpícího chronickým návykovým alkoholismem,slabomyslnos- tí a perinatální encefalopatií/. Vojtěch Srna byl obžalován z tr.či- nu maření nebo ztěžování výkony státního dozořu nad církři nebo nábo- ženskou společností, Miloslav Sváček pak za to,že ke spáchání tohoto trestného činu poskytoval pomoc.Tento případ/sdělení č.79/ je dal- ším otřesným svědectvím vyvolávaní atmosféry strachu mezi českosloven- skými věřícími. , Ä na závěr ještě jedna zprava:jedenatřicet občanů z Karlových Varu a z Ústí nad Labem zaslalo dopis Rudému právu* jako odpověd na člá- nek zveřejněný 23.11.78 pod názvem ""Krize protičeskoslovenské propagan- dy"" l -Uopis je reakcí na nepravdivé informace ťuaého práva. [pageend1]",1
1235,"zvláštní příloha SPOT*.. ""J zvláčtní příloha S/CRTU zvláštní příloha SPORTU ?o uzávěrce tohoto tis? n jsznc dostali mzts-iál, ktorý si vzhledera ke své závažnosti vyžaduj^ ok ožitou publikaci. S technických důvodů joj tedy zveřejňujeme—alesT»*« ^uta ""ncregulérní"" formou, Doirifs eornea, rumunská filosofkr známá bojovnice za lidská prívn, kte- rá je už delší dobu drSo ¡'¡n CcoucosccvvTi r c Šimoni v ostrém d oxác. • včzcní, propašovala nc ~w.no ? c'j klíčen' doois své cceŕi. Uvád í ae z nčj .'•ozsáfclé fragmenty. Mláčku, všechno ,jc daleko horfií než na počzia a v zima. Většino' rán nedovoluj jí dokonce sr.i ?••. jít si pro c hl ebs. Celé dny jsme bez chlebe a vůbec bez potravin, bez ovoce n zelmiiny. NaSt^stí na zahrádce rosto štovík. /..,/ Když se mi n^kdy, ale stává r c to zřídka, podaří vyjít z domu, cravidolně na ulici napackno nškdo ze Securitete /tajná policie, p.cř./,'vydávající se za ""dSlníktí pobouřeného cou činností""., Mockrát u' ai naplivali do obli- čeje, strkali co mS, tch&3i sa ¿a',y. Policie mně ta':,- neustále radí, abych r.echjJilc opušlč.iýai ulicemi, ale rsdííi po rušné Cele-a Turzii. Pravděpo- dobni al- chtějí hodit pod nijaké a u t o , P r á v á z tohoto důvodu se snažím chodit klidnou Aviator S&descu» íe, co se si a?.c dnes, 1ti, května, překročilo veďkr^ou míru. O půl jsde- r.,':<:t j-:.;.:;; /ypravii a pro chleba, 7. d c-au jsem se «ostala bez preká^k, ¿•i.; uoivílo, pr-.5t.o2e nás v nera o otcea v5zni.ll už přes dva týdny. Sotva uiíla r. krckfi, zastavil sě policista a řekl, ?s nesmím vycházet. Vy- .?•/ 'ť...i la jc-o? nu, *c nemáme už c>ri kousek chleba a že ho jdu xoupit. Řekl, 4'ř mi to ¿nkazuje. OdpovSdlla jsea, Ke auaíc oebnat jídlo a cdnítám no pod r-. hlt j «ho svévolnému nařízení. A ála jsem dál. Chytil mě za ruku a pak 7.« v! ary a : á ;1 r.aorc.o k brnaco. Držela j sen se plotu, filé odtrhl až od :ie j a strčil n-i dvůr- U;k brut,álr.é, až jscffi upadla r.a záda. Svedla jsomse n znovu vyšla ven. Vrhl ee na rrS, o p H <n3 ""chytil ta vlasy, bil aó po hlavě f. k:: pal dví ledvin. Uklidni J se'až když jsem zase- upadla. Vaz sir. ;ioca a .ioátl dvakrát zkoušelo vyjít, ale vždycky to skončilo bitl-u a kopanci, "".fá to zabijú,"" křičel. :>ál u 1 jsee to nezkoušela a jen jaeai na^namení prc-trot.u f.Ljí'Ia u branky, aby kolemjdoucí viděli, že nemohu odejít z domu, Ji 1?'S ku vvki. dnes, IS.kv'ítna jsme s otcem zkouSeli zsjít k doktorovi, -,0.1í ně kolono o nemohu dýchat. Od hlav.v k pat5 jsem pokrytá Škrábanci, c toky a podlitinami. Cestu k lékaři nám samozřejmě zakázali. Zase už ne- můžemo vychází ť vra e zase jame bez chleba. AI 3 neboj se, naěe morálka je dobrá, otec se ťhtíl vypravit pro chleba sát, a.1 e násiliu: ho zatlačili i n.:. Lky. ».il'.JVu. de-* zorává rumunská Svobodné ftvropS a informuj tisk, že jsea se rozhodla k hodinovému protestu jednou týdnr. Jestli mi nedovolí vychá- zet nebo jsstli mg napadnou v bytí'í j venku, budu stát každou sobotu cd 10,00 d o ll.CC za brankou, 00 vede na ulici. 1'evím už, co mám dělat, aby c se ubránila, TJsc tä Í: ii .¡.u ju t- d Skuj i ti za všechno. Stýská se mi po vás. Stále h*ř so lián spolu bude udržovat kontakt., Prakticky sň zbavili :,vobcdy pohybu, Líbám tě' a eolcu mateřskou láskou - matka, EutarreSť, 7.6,1935 /citováno dlo č.19?/ protesty proti tomuto a dalším případům rumunské zvůle a. teroru adresujte na: president Nicolae Ceausescu Čkleo Vis t orie i 49 Buour íť s t i Re public a, Socialista Romania /SPQHT č.2, «erverwc 19S9 - po uzáv5l*ee/ [pageend1]",1
1238,"y i \4 A i ,<> K N r V A. 1 ť; 2 - x ^ ( X / // A / e z c z r / s ^ t noť s j yoro S / a r x ^ ' j P / z YŠechna moc patří pracujícímu lidu! Vážení občané. Právo jste dostali do rukou neviny,které vydává nezávislá kulturní iniciativa ""Sdružení Óe šitého folku ».. Chceme fáa informovat nejen o aktualitách našeho m&sta *ale i o Jiných neméně zh jí na výďi v&ceeh& 3o adresy neuveřejňujeme,ale pokud se s námi budete c&ttřt spojil a trocha se poptáte, jistě se nakonec k nám dosmnete.Po&ud ""budete chtít abychom vám otiskli příspěvek,rá&i tak učiníme, pouze ""bude li podložen důkazy nebo fakty.Vaše jméno uveřejníme pouze B vašín písemným souhlasem,Také rádi odpovíme na vaše dotazj t^ka.Jícífch se občanských iniciativ Jako je CHARTA 77?VOÍÍS a poáóbnZ .AtaSe platí vydavatelé jso své soukromé kapsy,proto za případný finanční pžÍBpev-^ na noviny budeme velice vdooni - Výtisků je velice málo / nakolik desítek kusů. / proto je třeba aby jste -átaše půjčovali přátelům» Každý má právo ns svobodu přesvědčení a projevuj to td prá^c nepřipertr* Ští,eby někdo trpěl ujmu pro Bvé f?.: vyhledávat*přijímat a rozšiřovat informace prostředky a bez ohledu ne hranice* Všeobecná «Leklame •asriž» él .1$ t u a w i K u m i Neuznáváme enlgrenské umělee? K.q z clo u sobotu ve-óex nůžete sledovat na pr^nfa prognos. tělo*!«©! seriál ""CEelopaři4*„Stojí za p^vSteBiiti„ie Aft»í t&řa&aí píi kterou -i spí vat ^ M e s a r Ustali» J t a t o e w l e f i s s dlvá&fcs* r l c e i a v é ^ á i m ^ WmlěmmE! síporio i ycvďíijL pru n a M n&mlŠ h o l o t y Jfo&f na místi odsuzovat jeho svobodné ros iiikdT sapomonoat na J^kál^IJhF raělea 111 e&lgraci do TJ *A.J»id ne [pageend1]m i i s « ZAJÍMAYOSO?I 2TE SVÉTH. v - Podle nápadních odhadů padlo v Afgsnistáně více .as? ?0 000 sovětských vojáků. / . /- Kíi černám trhu v Moskvě se nyní prodává Bible 3a 50 až 70 rublů což představuje průměrný ótrnáctidéiií plat. / \\ /- Podle vídeňského Četová ;.r c.^. rod ní hospodářské srovnávání zadluženost-ňS3H ve volných měnjch v roce IS7I étniXs 485 / milionu dolarů.V roce 1986 však Již 3 miliardy 185 ail.dola*'» . - - i • ' •;' • - "" ; * 1 / ) - Fr «jmen-Výběr a YídnS Naše úvaha ! Kultura našeho • :.-*'.•.. \ w • . , • "" * . - ^ •-•„•' - 'v' ^ • i ' V ' ' Podusme se zamyslet nad kulturou v nsšem taěstě^ 1V. / Vzpomeneme si například kdy se u náš dělal koncert sábavne hudby .Většina cbcanč ->ni ne parna tu je. Poslední byl asi .pre<í rokem>810 s vydatným přispěnía naší nezávislé kultuní aktivity.. Ha napravení té-po chyby s_e 'aši moc nepracuje ^pře^tcie inoti^tťce .mají nemalá možnosti, Óo pro x:> delá na pří klet. SKZ nebo SSUf Nic.BSM nyní dostalo do své kompetence . přísáli Lidového domu,. Jsme moc zvědavi co tam budou podnikat.Alkoholické dýchánky* nebo kulturu ? V&říme spíše v to prve.íc mo£ňé někteříf.. j . ólencvé 8SM by rádi nčco pořádného dělali jí však strach před násleďky*y^táinou říkají.jř Vždyť to nemá censuHdeláme jeduií «•• ' ' "" •'-*•* - — - ' 5 r ' • .. x • y 4 i pořádnou nckomeróní akci a soudruzi nás setřoiiJři&eho nedosáhneme 1 My si myslíme něco jiného*Musíme neustále poukazovat na nedostatky* Je třeba si UVĚDOMIT,le Stalinská doba je dávilo pryó. A tu novou právě děláme» , V 3 - - r : / ^ L / .. 1 • : ¿ ' 7. i v- ~ •/ - y 4 ; M N I i H ď k á f ; * ' : ! • f % V ' V . & l • ý . J - ' ' "" * . ' ' » • • ' ~ 7 / Tímto chceme ujistit, jakou důvěru máto k představitelůisi na^ch^, MeííV. Jmenovitě se jedná o o .Sme tanu, s.KoutskéhO a s^fodiakp.. ; , Napište n^m co si o ten myslíte.Statistiku zježejníme y nektarétí, z p H S tich dxael.- ř t ^ - ' v ^ .1C, A. : / . f - / ;/ "" 'i;' jk. • 1 J ... .V; /y : x-i v 7 7 / Tyto noviny? vydává ""Sdružení českého folku"" co^ je je nezávislá občanská iniciativa ve Stsjféa řízenci» •) : • • : / : • ^ ^ • -a - ZH5TM í : Li / f I .kud Vás Staroplzenecké atašé zaujalo^jnůzete sí další čísle , / ' objednat. Ho viny budou v^ciliiet nepravidelní- krit [pageend2]",2
1239,"! A <n Y i Sd ""•A'' í J r £ / \ v & o vctrop/z enecxu, «-.z O I K 'V / V € 2 a. v / .,<"" /é ň O V/ /> ^ ^ /'• o J ' é a A <, ^ ^ € ň .6 , y 6?* Yooahna mea- patří praoujÍQlfflit lidu!!!, Hc-clokvea pod Sadami srno ói ne* Dalo by se ř í c í 9 ž e skoro samozřejmou každoroční akcí v o Starém pořádání dobového hodokvasu v podhradí hreda Badynč I když byl pořádán* t?5fa p o t ř e t í ^ o s i obyvateli našeho města se tato slaviMMst v o lid s dobře oj a la «He&asíiae dodává t^že tato akoe vžáy přilákala B n é s .mohli ochutnat netradiční jídla řkterá • tam byla v bohaté oíře žastoupeaa* Hodokvas probíhal bos problé®&,orgaaižaca byla dobrá •Snact práv 8 proto nás zsškodila &práva sže letos se hodokvsa kort at nebude! Haakýtá se otázka přod, nebo s. jakýcsh d&vcdů?ž koltarcího hlediska os jedná o akci, která je jedna i adla jíxasvá a která přitahuje návštěvníky širokého okolí * V ailnfé zanedbané knltařa našeho mSsta hodokvas pfadotevovai kulturní iápiéku*Mc .má tedy zájem na nakonání táto akoe• J e i o a á ř i p n s b o Veřejnost «líůž o ně jeká instituce v© Starém. Plsanoí Mlj^Snost; namísto hodokvaeu něco jiného**atejrsS ^ j f e v é h o f Kdyby nékdo chtěl j i s t ě by se aooo našlo ^šwksinšs ten ifeDO neahoe^ jinak by se j i ž ně o o děle»Zatím se dělá jen to^že a« pronásleduje . _ n.osdvislá- kultus*B?omlalsdu j í se by c.bi&li n&eo ctélat«/ / Opravit přírodní d ivad l a f pr ostS ďŠXat kulte: a a hlavně veřejmwfcí žádanou» Zatím v dneěníeh áobáoh přestavby je taková aktivita nežádoucí,protožo by m tím odkryla c í s í absolutní nxacohopnOMtoatě přestavba plná deaokraole Kultura národa,není určována jen uměleckou tvorbou.čí stavem veřejných záchcdkt^alo též a tc především kulturou. právní» k fcará js? myslím /rozhodují oím kulturním kritériem*^ to bohažel není edekvátnš doconováiie?*3ím vyšší právní kulturu rsá národy tím je víoo demokracie a lepgí zajišťování práv a svobod / Ps^el Wonksř'""' vol V&re« tJ hHSt? StarPlsseaoo 9vid Zábranský H^rudovtí St&rý Plasenec adrooy s B-vol Vare« tr hřiSt?- 55' D* / / y [pageend1]Zajímavosti z vöta o 'České země mají 1 270 000 krav^z niž jo 600 000 léčeno pro poruchy plodnosti« •MUDr.Bartoníček z j i s t i l , že našo Aéko obsahuje ^OOňisobné množství bifenylů,než připouští naše norma. - Sovětský dělník musí pracovat 5krát déle než americký,aby si mohl koupit pár bot« ÖLOSi. 14.hodin po té, co vyšlo první šišlo tobn&é,místdpředseda 3.Ö.P. byl předveden na StB v PlanJUTekovář pružnost, by -byls oeen&na' a o jména . při rehabilitaci čs .kultury.3 iiftním or^anüra by práce ne- / p ř i b y l ® k u l Uira, by jen kvetla ' V'ž' :"".f . . -»i. Ha Xotoán-í Bratislavské ly£© ameriČanka Joan Baezová věnovalo V. • ' • "" ' • ' "" ' • . . . - • • V í • • ' • v / - , : své vstoupení .CH&rtě. 77 a vSentn občanským nezávislým aktivitám. Rudá Právo psulo,že vystoupení se nezdařilo,avŠak u obecenstva melo velký usp&cru -j Ye středu 14 .června. £ .P. uveřejnil o Článek ""Demokracie mní anarchie "". Cíl jo jasný.Zpochybni.t CH.77,* d^lší tízzávVAé skupiny .Nož so o dané' problexae't lee líůyú^ftj©""""třeb?: j% : t uv&domit»kolik poctivé práce nezávislé aktivity j i ž vykonaly. / Základní prohlášení,která vzniklo při vzniku CK.77 je natolik demokratické a humální,že s ním nelze noa o uíala o i t let er é názory ""disidentům roce 1536a jsou dnee oprávněné,""pouze je vyslovil nčkdo jiný "".Kdyby s.Gorbačov jednal sr s CH.77 o otázkách demokracie a Přestavby a »totožnili nci které názory^/.látokono by to překvapilo* Každá česká vláda vždy kritizovala vládu předchozí.Aí už- ze stránky hospodářské nebo politické«Je to jasný důkaz nejednotnosti myšlenky socialismu. : • \ "" ; ' ,' Dálo I?.P.píá3,že nezávislé skupiny nemají žádný progrM.Prý je sdružuje pouze nenávist k socialismu» . >. v V.? > - - . « . • i - Za všoehny uvedmo Výbor na obranu jieepravedlnd stíhaných.VOBS veřejně informuje o lidech,kteří, jsou stíháni ze své politické náboženská přesvědčení .Snaží se vyvolat takovou situaci,která by donutila státní orgány propustit féznfc svědomí . A to j?? program jeden z nejuŠleohtilejSích. ""f V ý t L ^ r ^ n f k o l i k deeítok kusťi/í^oto AtaSé >5JčujTe nrá telům.S tar oplzenecké .A ta Se vydává Sdružení Českého folku ve Starém PlzoneioPištefBáSi Vám odpov''áe.DalSÍ číslo objednejte! [pageend2]",2
1402,ZE Z Á S U V K Y I Z BLOKU /I/ Jak odchází český básník /Věnováno památce básníka Michala Sedloně/ Travička zelená Kde jsme a kam to vlastně spějeme? Expresivní mluva stavebních dělníků Doplňující návrh k reformě psané češtiny Stopa mizí na Pankráci? Zádušní mše O. Šulcová L. Kohout I. Kubíček —ul— K.K.Kulich O. Šulcová [pageend1],1
1403,ZE Z Á S U V K Y I Z BLOKU /II/ Vegu nad hlavou E. Kantůrková Odkaz budoucím J. Ruml Fejeton dušičkový 0. Šulcová Slovensko - země neznámá — hk — Co chtějí socialisté V.Vrabec Kde jsme a kam to vlastně spějeme ? L. Kohout 0 ní P. Šrámek Expresivní mluve stavebních dělníků I. Kubíček Jak jsme si natroubili chobot O. Šulcová [pageend1],1
1404,"ZE ZÁSUVKY I Z BLOKU /III/ Pohled zevnitř /Na okraj pamětí prof.dr. VI.Kadlece/ Co lze čekat od “řízení pro 8.pětiletku“? /K usnesení fed.vlády o zdokonalování ""zdokonalené soustavy“/ Jsou důvody k optimismus? /Na okraj oficielního hodnocení dvouletí 1983-4 a výhledů čs.ekonomiky/ Misionářka lásky /návštěva Matky Terezy v Praze/ Minulost v nových souvislostech - Maďarsko 1956, ČSSR 1968, Polsko 1981 Pozdní známosti /k nedožitým pětaosmdesátinám Bedřicha Fučíka/ Je regresivní společenský vývoj Československa nevyhnutelný? Expresivní mluva stavebních dělníků /dokončení/ Nevzdělanost jako program Cesta do hlubin dělníkovy duše /Místní slavnost, Ivani/ Madame, já děkuji osudu Podzimní fejeton AZ Economicus Economicus -hk- M. Hübl E.Kantůrková L. Kohout I. Kubíček Martin O. Šulcová O. Šulcová K. Trinkewitz [pageend1]",1
1405,"ZE ZÁSUVKY I Z BLOKU Gorbačov - a co dál? Zasvěcená studie o maďarské ekonomické reformě Několik poznámek k reformovatelnosti ""reálného socialismu” Vina a trest AZ Economicus J. Hájek kkk Hlavně mě těší ta nezávislost na chlebodárcích... /rozhovor s J.Rumlem/ Druhá světová válka, Edvard Beneš a Josef Stalin Konec Emanuela Moravce /poznámka k tomu, co se stalo před 40 lety/ Tři zpěvy /úryvky z delší básnické skladby/ Jaworzno Vzpomínka na nekamarádku Recenze rukopisné práce Z.Šulce ""Stát a ekonomika"" Současná problematika cizorodých látek v potravinách Osudy české inteligence /úryvek z větší práce/ E. Kantůrková L. Kohout K. Kulich J. Jesenius S. Mrozek O. Šulcová R. Slánský Prof.MUDr. A.Wolf, DrSc. R. Zukal [pageend1]",1
1478,"ZPRAVODAJ DEMOKRATICKÉ INICIATIVY-zpravodaj demokratické iniciativy-ZPRAVODAJ DEMOKRATI CKÈ INICIATIVÏ-zpravodaj demokratické inici ativy-ZPRAVODAJ DEMOKRATICKÉ INICIATIV!-zpr avodaj demokratické iniciativy-ZPRAVODAJ MOKRATICKÉ INICIATIW-zpravodaj demokratiík é iniciativy-ZPRAVODAJ DEMOKRATICKÉ INIČIAT I +++ ZPRÁVA O PŘERUŠENÍ ČINNOSTI DEMOKRATICKÉ INICIATIVY +++ .1 V této době, která je pro nás obtížná a těžká, cítí se Demokratická iniciativa povinna rekapitulovat» Její öinno'-’t trvá krátce, měří se na pouhé měsíce a úkoly, které si předsevzala, byly velice náročné. Chtěli Jsme přispěj k překonání vážné morální, politieké i hospodářské krize našeho nárbda, a to zejména prosazením požadavků vedoucích k Jeho demokratičtější a svobodnější budoucí existenci. Rovina naší práce od počátku až dodnes Je politická. Demokratická iniciativa podávala vrcholným orgánům společnosti návrliy k vytváření zákonných norem p k přijetí účinných opatření pro započetí procesu demokratizace a liberalizace naší skutečnosti, spolupracovala s ostatními nezá- vislými aktivitami, účastnila se svolání nezávislé manifestace 28. října i příprav sympozia ’Československo 88’. Do činnosti Demokratické iniciativy se zapojovali noví pracovníci, vedeni pocitem odpovědnosti vůči československé společnosti a snahou udělat pro ni to, co je v jejich silách. Vůbec nepochybujeme, že ideje Demokratické iniciativy byly a jsou reálné, těžko ovšem dnes zjistíme, Jakou měrou ovlivnily skupiny a vrstvy našeho obyvatelstva. Nemohly však až dosud - podobně Jako činnost dalších aktivit - ovlivnit trend společenského vývoje, který dnes v Československu směřujé nikoli k demokratizaci, nýbrž k jejímu «paku. V oblasti občanských práv, vyznačující se neobyčejně nízkou úrovní, nenastalo žádné zlepšení a vše, ^o směřuje k svobodnějšímu projevu, je potlačováno v nejlepším případě administrativní, často však také policejní mocí. ' Tento tlak dolehl také na Demokratickou iniciativu. ZakládaT jící účastníci našeho hnutí jsou již delší dobu podrobováni vý- listopad 1988 03 03 1988 listopad [pageend1]i 2 slechům, šikanám,, dosahujícím i na jejich pracoviště, a nyní také krátkodobým pobytům ve věznici. Povaha Demokratické iniciativy a smysl její činnosti jsou však politické', nemůžeme se obejít bez možnosti komunikovat s veřejností a s orgány této společnosti. Na druhé straně jde o hnutí zcela civilní. Jeho pracovní ci nejsou profesionální politikové, jsou to řadoví občané, lidé zaměstnaní v nejrůznějších institucích a v běžn/ch zaměstnáhích. Rostoucí policejní tlak za těchto podmínek přerušil počáteční organizování našeho hnutí, znemožnil naši vzájemnou komunikaci i zajišťování potřeb nezbytných pro naši práci. Navíc jsme neustále veřejně obviňováni z protispolečenských cílů a nemáme možnost uvést takové pomluvy na pravou míru» . ’ • Pokud bychom se rozhodli nyní pokračovat v dosavadní práci, nešlo by již o hnutí politické, ale o uzavřenou skupinu, nutné směřující k jiným cílům, než jaké si vytkla. Přiznáváme raději, žo nejsme schopni čelit těžkým tlakům jinak než rozhodnutím dočasně_přerušit_práeiM hnutí__Demokrat:i. ?há iniciativa. Dočasně nvc nás znamená pouze a výlučně do té doby, než bude opět možné, aby politicky zaměřená nezávislá iniciativa legálně a veřejně pracovala. Potrvá to týdny nebo dlouhé měsíce? Zatím děkujeme účastníkům hnutí Demokratická iniciativa i jeho četným stoupencům za jejich podporu n spolupráci a prosíme, aby spolu s námi jeden každý vytrval a individuálně pracoval v prc3pěch společnosti tak, jak mu velí jeho svědomí. Pevně věříme, žo tento čas je časem rostoucí svobody v celé Evropě, a v důsledku toho také v Československu. Nepochybujeme, že se všichni opět brzy sejdeme u společné práce. Za Demokratickou iniciativu Bohumil Doležal Emanuel Mandler Karel Štindl V Praze dne 14* listopadu 1988 Martin Litomiský Miroslav štengl Josef Voseček +++ Zakládající účastníci hnutí DI sdělují, že dočasně přerušují svou ediční činnost, tj. i vydávání Zpravodaje DI. Děkují svým čtenářům za pozornost, podporu a pomoc. [pageend2]",2
